-10.0,-10.0,16723.413733657973
-10.0,-9.9,16689.683629355004
-10.0,-9.8,16654.93788667108
-10.0,-9.7,16619.27028076716
-10.0,-9.6,16582.950105108514
-10.0,-9.5,16546.505307112497
-10.0,-9.4,16510.734104099512
-10.0,-9.3,16476.4355809169
-10.0,-9.2,16443.865502117707
-10.0,-9.1,16412.501917363803
-10.0,-9.0,16381.455814780275
-10.0,-8.9,16349.966958776167
-10.0,-8.8,16317.563306004224
-10.0,-8.7,16284.011224386415
-10.0,-8.6,16249.250642117871
-10.0,-8.5,16213.393763499898
-10.0,-8.4,16176.808445161634
-10.0,-8.3,16140.254240970155
-10.0,-8.2,16104.856564676986
-10.0,-8.1,16071.531890493641
-10.0,-8.0,16040.160202669018
-10.0,-7.9,16009.681469266832
-10.0,-7.8,15978.958904368586
-10.0,-7.7,15947.252921599646
-10.0,-7.6,15914.196433524565
-10.0,-7.5,15879.672371915523
-10.0,-7.4,15843.788043514018
-10.0,-7.3,15806.999634216556
-10.0,-7.2,15770.353140778121
-10.0,-7.1,15735.440809721944
-10.0,-7.0,15703.326312665467
-10.0,-6.9,15673.344705592841
-10.0,-6.8,15643.836731341386
-10.0,-6.7,15613.48903796214
-10.0,-6.6,15581.622684160453
-10.0,-6.5,15547.968585397162
-10.0,-6.4,15512.527256720296
-10.0,-6.3,15475.671746730577
-10.0,-6.2,15438.544810024647
-10.0,-6.1,15403.340889915271
-10.0,-6.0,15371.885385568108
-10.0,-5.9,15343.286702238469
-10.0,-5.8,15315.11181818227
-10.0,-5.7,15285.668911969198
-10.0,-5.6,15254.216835846628
-10.0,-5.5,15220.49325430025
-10.0,-5.4,15184.521169538337
-10.0,-5.3,15146.869847473612
-10.0,-5.2,15109.530640967132
-10.0,-5.1,15076.166442969436
-10.0,-5.0,15048.08508587509
-10.0,-4.9,15022.02129345165
-10.0,-4.8,14994.86060052684
-10.0,-4.7,14965.330878159126
-10.0,-4.6,14933.034299424266
-10.0,-4.5,14897.846077842303
-10.0,-4.4,14859.967962938403
-10.0,-4.3,14821.088246884938
-10.0,-4.2,14786.611520584675
-10.0,-4.1,14760.477793929194
-10.0,-4.0,14738.201148422724
-10.0,-3.9,14717.930205560753
-10.0,-3.8,14703.99286633889
-10.0,-3.7,14695.736255062737
-10.0,-3.6,14680.62932577174
-10.0,-3.5,14650.492355497428
-10.0,-3.4,14623.782020951996
-10.0,-3.3,14644.302657718683
-10.0,-3.2,14645.463354087684
-10.0,-3.1,14624.252365339713
-10.0,-3.0,14603.30300369212
-10.0,-2.9,14633.887454542582
-10.0,-2.8,14688.004676602885
-10.0,-2.7,14663.536550166644
-10.0,-2.6,14620.464228724639
-10.0,-2.5,14568.263108648633
-10.0,-2.4,14600.921043030457
-10.0,-2.3,14568.4938018216
-10.0,-2.2,14558.104642580924
-10.0,-2.1,14561.416045811133
-10.0,-2.0,14606.109397938093
-10.0,-1.9,14720.62213808762
-10.0,-1.8,14751.377303466077
-10.0,-1.7,14664.079920510805
-10.0,-1.6,14521.855445456635
-10.0,-1.5,14734.424813933036
-10.0,-1.4,14802.967850617824
-10.0,-1.3,14798.292198856327
-10.0,-1.2,14790.341341775358
-10.0,-1.1,14961.859756939915
-10.0,-1.0,14864.954191906168
-10.0,-0.9,14760.42939424336
-10.0,-0.8,14664.268754586612
-10.0,-0.7,14920.579443381344
-10.0,-0.6,14967.742425105243
-10.0,-0.5,14869.363965364526
-10.0,-0.4,14983.032962698959
-10.0,-0.3,15190.497781251728
-10.0,-0.2,15151.438145882244
-10.0,-0.1,15171.687928416699
-10.0,0.0,15176.77934566972
-10.0,0.1,15319.372049207355
-10.0,0.2,15393.714082204753
-10.0,0.3,15360.711348085224
-10.0,0.4,15369.005225924508
-10.0,0.5,15593.948463785773
-10.0,0.6,15518.572944298505
-10.0,0.7,15481.752660428687
-10.0,0.8,15566.901848516594
-10.0,0.9,15595.104439744404
-10.0,1.0,15611.361032189101
-10.0,1.1,15660.845850450612
-10.0,1.2,15624.497806393185
-10.0,1.3,15625.807614873964
-10.0,1.4,15899.588114959768
-10.0,1.5,15721.709149373186
-10.0,1.6,15618.237157360003
-10.0,1.7,15824.037258708371
-10.0,1.8,15877.199067411568
-10.0,1.9,15713.01475620638
-10.0,2.0,15750.290150503875
-10.0,2.1,15942.427118240468
-10.0,2.2,15779.06326108584
-10.0,2.3,15744.911223780922
-10.0,2.4,15946.238856987096
-10.0,2.5,15887.901976791441
-10.0,2.6,15762.759252947531
-10.0,2.7,15844.851284289594
-10.0,2.8,15967.481297700559
-10.0,2.9,15712.701340603611
-10.0,3.0,15846.690852395253
-10.0,3.1,16011.073731890716
-10.0,3.2,15737.734660443224
-10.0,3.3,15803.68350574067
-10.0,3.4,15972.970268852367
-10.0,3.5,15779.118001217092
-10.0,3.6,15895.676853355928
-10.0,3.7,15917.362673226206
-10.0,3.8,15885.316769864357
-10.0,3.9,15944.612107693683
-10.0,4.0,15828.794730207319
-10.0,4.1,15922.323775211762
-10.0,4.2,15899.814899552988
-10.0,4.3,16001.022208422657
-10.0,4.4,15759.366807333234
-10.0,4.5,15909.916918218954
-10.0,4.6,16087.818646311509
-10.0,4.7,15803.362894310732
-10.0,4.8,15773.40365024824
-10.0,4.9,16112.227028035377
-10.0,5.0,16000.267785423683
-10.0,5.1,15852.323172125489
-10.0,5.2,15964.077667921107
-10.0,5.3,16084.530514192038
-10.0,5.4,15947.127450087784
-10.0,5.5,15797.677032232594
-10.0,5.6,16050.143302037735
-10.0,5.7,16149.265619944084
-10.0,5.8,15944.636116884974
-10.0,5.9,15850.897194247234
-10.0,6.0,16118.77559678673
-10.0,6.1,16211.9478148337
-10.0,6.2,15935.772699012163
-10.0,6.3,15796.334969687541
-10.0,6.4,16135.121405248858
-10.0,6.5,16227.699459720536
-10.0,6.6,15886.45087555266
-10.0,6.7,15879.92393967445
-10.0,6.8,16192.66127028967
-10.0,6.9,16193.614743060969
-10.0,7.0,15943.20611258993
-10.0,7.1,15966.218967397492
-10.0,7.2,16194.686321151636
-10.0,7.3,16086.927335298396
-10.0,7.4,16028.29248750771
-10.0,7.5,16052.384038577602
-10.0,7.6,16221.876295558437
-10.0,7.7,16081.236410886475
-10.0,7.8,16111.783587790012
-10.0,7.9,16145.036999916116
-10.0,8.0,16283.276359802703
-10.0,8.1,16123.575979799718
-10.0,8.2,16051.33191598995
-10.0,8.3,16237.847015093485
-10.0,8.4,16260.246846158427
-10.0,8.5,16225.191340953581
-10.0,8.6,16223.944033329932
-10.0,8.7,16177.689866611074
-10.0,8.8,16357.22909625282
-10.0,8.9,16309.697626834832
-10.0,9.0,16243.887112357455
-10.0,9.1,16273.403364831085
-10.0,9.2,16301.720499387957
-10.0,9.3,16364.296180375886
-10.0,9.4,16412.666302996753
-10.0,9.5,16374.690947203551
-10.0,9.6,16397.32499611
-10.0,9.7,16426.638315519154
-10.0,9.8,16421.879865920095
-10.0,9.9,16471.527293796946
-9.9,-10.0,16681.341372611227
-9.9,-9.9,16647.711370438843
-9.9,-9.8,16613.05549785047
-9.9,-9.7,16577.403789648648
-9.9,-9.6,16540.934122599043
-9.9,-9.5,16504.0461678643
-9.9,-9.4,16467.42574899946
-9.9,-9.3,16431.92740620668
-9.9,-9.2,16398.115130870578
-9.9,-9.1,16365.798840441745
-9.9,-9.0,16334.181055661915
-9.9,-8.9,16302.40293119491
-9.9,-8.8,16269.86265402868
-9.9,-8.7,16236.23068570966
-9.9,-8.6,16201.377483742282
-9.9,-8.5,16165.342375202834
-9.9,-8.4,16128.383498676636
-9.9,-8.3,16091.104427363713
-9.9,-8.2,16054.527967293305
-9.9,-8.1,16019.74708289996
-9.9,-8.0,15987.067631643518
-9.9,-7.9,15955.678163230277
-9.9,-7.8,15924.38018644226
-9.9,-7.7,15892.27911550449
-9.9,-7.6,15858.891904268266
-9.9,-7.5,15824.026353383406
-9.9,-7.4,15787.716230602173
-9.9,-7.3,15750.29849986153
-9.9,-7.2,15712.63602309346
-9.9,-7.1,15676.22516325417
-9.9,-7.0,15642.429984755488
-9.9,-6.9,15611.070562259927
-9.9,-6.8,15580.59896176718
-9.9,-6.7,15549.537756214067
-9.9,-6.6,15517.055491862557
-9.9,-6.5,15482.798497394673
-9.9,-6.4,15446.707767438926
-9.9,-6.3,15409.0621006039
-9.9,-6.2,15370.819399691409
-9.9,-6.1,15334.006957252932
-9.9,-6.0,15300.73293489968
-9.9,-5.9,15270.658066315684
-9.9,-5.8,15241.419257931137
-9.9,-5.7,15211.120984806515
-9.9,-5.6,15178.884957470154
-9.9,-5.5,15144.391456949203
-9.9,-5.4,15107.624878588544
-9.9,-5.3,15069.06553506949
-9.9,-5.2,15030.499971870147
-9.9,-5.1,14995.513421864882
-9.9,-5.0,14965.928741271011
-9.9,-4.9,14938.792328417641
-9.9,-4.8,14910.804233610641
-9.9,-4.7,14880.539769921279
-9.9,-4.6,14847.553492749215
-9.9,-4.5,14811.708268152932
-9.9,-4.4,14773.178372332717
-9.9,-4.3,14733.55998322773
-9.9,-4.2,14698.157144993587
-9.9,-4.1,14671.221211458596
-9.9,-4.0,14648.745043809802
-9.9,-3.9,14629.453790352078
-9.9,-3.8,14617.443502181375
-9.9,-3.7,14609.281618858422
-9.9,-3.6,14591.668849023627
-9.9,-3.5,14559.737868080843
-9.9,-3.4,14541.338649163508
-9.9,-3.3,14562.475964871497
